group,names,scores,logfoldchanges,pvals,pvals_adj
18,rps8.L,19.852972,0.8237665,1.0387339360305324e-87,8.49359755317966e-85
18,Xelaev18003505m.g,19.816345,1.4138927,2.151815918060945e-87,1.7061944033934145e-84
18,rps26.S,19.779922,0.85044837,4.433776711009871e-87,3.4121823947142433e-84
18,rpl35.L,19.697798,0.8441336,2.2520156663608052e-86,1.683606912171338e-83
18,rpl26.L,19.678461,0.81182665,3.298665587650345e-86,2.397580104623859e-83
18,Xelaev18039125m.g,19.597897,0.80074227,1.611483329382925e-85,1.1396235890982057e-82
18,Xelaev18043840m.g,19.584093,0.85756326,2.113328257969035e-85,1.455193347316257e-82
18,rps27a.S,19.57728,0.7913002,2.4158413358128725e-85,1.620843702381529e-82
18,rps28p9.S,19.542845,1.0304824,4.746239154060173e-85,3.104752342628462e-82
18,rps15a.S,19.534267,0.8828983,5.614582321060792e-85,3.5831990490945534e-82
18,loc100493057.S,19.455563,0.81527025,2.6146696923483562e-84,1.628939218333026e-81
18,mkrn3.S,19.44591,0.8858135,3.156301322784885e-84,1.9206460560927743e-81
18,rplp1.L,19.415812,0.75446844,5.673283360242759e-84,3.373798463729819e-81
18,Xelaev18017507m.g,19.27664,0.78780806,8.438276116423241e-83,4.906576285829568e-80
18,Xelaev18035949m.g,19.22359,0.9684345,2.3493625078455127e-82,1.3363786821801236e-79
18,rps16.S,19.222319,0.820993,2.407701946502199e-82,1.3404240240888624e-79
18,rps26.L,19.202423,0.90114266,3.5322096946782685e-82,1.925495809811491e-79
18,loc100493057.L,19.036106,0.8703316,8.56646488263587e-81,4.574492247327555e-78
18,fau.S,18.971912,0.9280833,2.9112272337761982e-80,1.52350343597976e-77
18,Xelaev18022104m.g,18.960918,0.9660946,3.5882582582722124e-80,1.8409875605088374e-77
18,rps25.S,18.851845,0.80709267,2.8377290586552807e-79,1.4279234336302706e-76
18,rplp0.L,18.842003,0.8952586,3.4178503718693574e-79,1.687386279817615e-76
18,rpl30.L,18.81158,0.9564598,6.070007490855274e-79,2.9412558519577606e-76
18,Xelaev18046508m.g,18.772205,0.7812669,1.2747971780044894e-78,6.064789629030085e-76
18,Xelaev18020043m.g,18.726536,0.7988538,3.00865762469051e-78,1.405795275136641e-75
18,rpl27a.like.L,18.7035,0.7492479,4.63580734389335e-78,2.1280795607072528e-75
18,Xelaev18016211m.g,18.619865,0.7387411,2.21773267045313e-77,1.0005033285358035e-74
18,Xelaev18014154m.g,18.617786,0.83788985,2.3054871216283047e-77,1.0224640004156987e-74
18,Xelaev18020022m.g,18.607975,1.8160038,2.768873323745969e-77,1.2075056564856171e-74
18,rpl30.S,18.563736,0.8885464,6.315664778170121e-77,2.7091095833704815e-74
18,rpl7a.L,18.49064,0.9434312,2.4561849465079626e-76,1.0365892791988283e-73
18,Xelaev18037717m.g,18.459986,0.85402524,4.334560985079633e-76,1.800287662469741e-73
18,Xelaev18037805m.g,18.343939,1.0342289,3.690587007366587e-75,1.5088734317930332e-72
18,rpl36.L,18.295753,0.91262513,8.94544126037625e-75,3.601021784907769e-72
18,Xelaev18006476m.g,18.22327,0.7850317,3.3738046703793986e-74,1.337560197047687e-71
18,rpl10a.S,18.025415,0.8792909,1.230824283070372e-72,4.806828088181993e-70
18,rps4x.S,18.001064,0.7232682,1.9111255578412e-72,7.353898727422476e-70
18,rpl6.L,17.98242,0.864455,2.6755897773648234e-72,1.0146301755728692e-69
18,Xelaev18013762m.g,17.925356,0.70737696,7.477010807248408e-72,2.7949066397494547e-69
18,rpl17.L,17.845657,0.777695,3.1240366191628937e-71,1.1513174954509336e-68
18,rpl36.S,17.769785,0.8860863,1.2115557981624697e-70,4.402995696488775e-68
18,rpl22l1.L,17.740154,1.3474667,2.0537352466630784e-70,7.361374858107686e-68
18,rpl29.L,17.670033,0.9931051,7.135497512852346e-70,2.5230733502877634e-67
18,Xelaev18021206m.g,17.583212,0.78172505,3.3127235743741595e-69,1.1557430006276568e-66
18,rpl27a.like.S,17.580997,0.725847,3.44464180417404e-69,1.1859539137897097e-66
18,rps15a.L,17.555462,0.6922846,5.402496956663305e-69,1.835866693091585e-66
18,rpl9.L,17.496878,0.67554736,1.513392180158649e-68,5.012584783041926e-66
18,Xelaev18042936m.g,17.496878,0.9211514,1.513392180158649e-68,5.012584783041926e-66
18,rps27a.L,17.488565,0.65179694,1.7511046280841962e-68,5.727425462306385e-66
18,rpl8.S,17.43571,0.74734616,4.420239279211053e-68,1.4279009997510668e-65
18,Xelaev18015505m.g,17.431871,0.88187885,4.727348893514662e-68,1.5084855018012762e-65
18,rpl17.S,17.406351,0.6807687,7.38423419523759e-68,2.327902071717913e-65
18,rps3a.S,17.260305,0.7081974,9.361455863260041e-67,2.916093501405503e-64
18,rps3.S,17.243996,0.7927478,1.2415254377562477e-66,3.8218534828623506e-64
18,ifitm1.S,17.237738,2.4384136,1.3834581872745563e-66,4.2092519683983766e-64
18,hsp90ab1.S,17.225773,1.3272988,1.701414001491754e-66,5.117149283107268e-64
18,rpl19.L,17.211586,0.71557194,2.1739688789488695e-66,6.464098828020014e-64
18,Xelaev18035769m.g,17.161299,0.6546923,5.174270744960365e-66,1.5212355990183473e-63
18,rps3a.L,17.15877,0.83786684,5.404660844124488e-66,1.5713150627484595e-63
18,fau.L,17.093649,0.6932461,1.654861571836881e-65,4.75836350425097e-63
18,Xelaev18037587m.g,17.073853,0.77560186,2.323486983732802e-65,6.608300045255706e-63
18,ppp1r14b.L,17.061157,2.5823705,2.8877932519951298e-65,8.124946046419845e-63
18,rpl26.S,17.022934,0.69082797,5.551758475663777e-65,1.5291296028865094e-62
18,rps6.L,16.994892,0.7018014,8.959528934582969e-65,2.4420316052322707e-62
18,rpl19.S,16.944326,0.6787725,2.1194438975951014e-64,5.717254538605508e-62
18,rps5.L,16.791014,0.837869,2.839492367229745e-63,7.581444620503418e-61
18,rpl34.L,16.789358,0.6567819,2.9198675619425133e-63,7.717298447049272e-61
18,rpl39.S,16.786188,0.9016847,3.0800502292683603e-63,8.059259429903592e-61
18,Xelaev18040976m.g,16.771835,0.7879169,3.922047660629837e-63,1.016082169188518e-60
19,atp6v1g3.L,27.545029,12.187032,5.075697958403744e-167,4.297585817143306e-163
19,Xelaev18040968m.g,27.544748,11.598818,5.1151207411897684e-167,4.297585817143306e-163
19,atp6v1d.S,27.53584,6.492242,6.5399032725377705e-167,4.297585817143306e-163
19,Xelaev18017913m.g,27.535673,6.3874416,6.569725318571132e-167,4.297585817143306e-163
19,atp6v0b.S,27.494446,6.356886,2.045749705598513e-166,1.0705817359338138e-162
19,atp6v0c.L,27.449917,6.1694407,6.963343285522045e-166,3.0367140068161637e-162
19,atp6v1g3.S,27.43547,11.059208,1.0356752656243407e-165,3.4322598738739226e-162
19,atp6v0d2.L,27.434992,9.696532,1.0493800730333784e-165,3.4322598738739226e-162
19,atp6v0c.S,27.416636,5.989895,1.7373002497838578e-165,5.050910926204936e-162
19,tstd1.S,27.39408,5.2311406,3.2262861583523936e-165,7.864342157302359e-162
19,slc25a3.L,27.393187,4.01965,3.306113419335242e-165,7.864342157302359e-162
19,atp6v1e1.L,27.37898,6.397984,4.881118272459952e-165,1.0643278393098926e-161
19,atp6v0a4.L,27.326622,11.847594,2.047922976938915e-164,4.121996354967973e-161
19,atp6ap1.1.S,27.318108,9.866285,2.5851238318449154e-164,4.831596441718147e-161
19,atp6ap1.1.L,27.218245,11.583624,3.950922022838542e-163,6.891988376639552e-160
19,slc25a5.L,27.149805,3.3431466,2.5454070452297747e-162,4.162695046592643e-159
19,foxi1.L,27.108067,11.141965,7.910304234948129e-162,1.1529890528130264e-158
19,atp6v1c2.L,27.107967,11.302127,7.931591741433339e-162,1.1529890528130264e-158
19,slc25a3.S,27.012543,3.6203094,1.052776160041347e-160,1.4498390001916782e-157
19,idh2.L,26.909708,3.9501045,1.6907521669967857e-159,2.2120110600818947e-156
19,Xelaev18036568m.g,26.840824,3.145752,1.0793977257669648e-158,1.298110015789718e-155
19,psca.L,26.840412,6.566087,1.0914324064577619e-158,1.298110015789718e-155
19,cox6a1.L,26.837318,3.3119106,1.1860679925031752e-158,1.3493328300799166e-155
19,cox7b.L,26.827856,3.3484564,1.5294689195401507e-158,1.6675034895286494e-155
19,rnasek.S,26.736498,5.641709,1.7726850660310098e-157,1.855363097510696e-154
19,atp6v1h.L,26.669884,5.9150023,1.0525513511461007e-156,1.0592714866957258e-153
19,cox6c.L,26.652632,3.2217765,1.6683189373632446e-156,1.6167864190758021e-153
19,atp6v0e1.S,26.580729,5.2595954,1.133993613963757e-155,1.059717032249131e-152
19,vma21.L,26.507786,3.8393605,7.882878183591861e-155,7.112530708684988e-152
19,uqcrh.L,26.48578,3.0728393,1.4133644820951729e-154,1.2327365012834098e-151
19,cox4i1.L,26.323858,2.6629257,1.0227512288721335e-152,8.632680211183305e-150
19,atp6ap2.L,26.308867,4.9517975,1.5182778573443482e-152,1.2414768254772566e-149
19,Xelaev18047214m.g,26.273966,3.1034296,3.805547290785524e-152,3.017453042748304e-149
19,Xetrov90021434m.L,26.258142,3.2479131,5.770197379793679e-152,4.440676018814158e-149
19,cox7a2.L,26.064247,3.6290193,9.276150348386749e-150,6.934850000453934e-147
19,foxi1.S,26.03103,10.991159,2.2063598095755966e-149,1.6036558549265294e-146
19,atp6v1h.S,25.977444,5.636558,8.90743617479363e-149,6.299242566206759e-146
19,cox5a.L,25.906118,2.9066288,5.682285203108252e-148,3.912701963803435e-145
19,atp5b.S,25.842762,2.8904238,2.934387403664641e-147,1.9687482257509997e-144
19,cox6b1.L,25.825792,2.8166432,4.552124359838108e-147,2.977772149988098e-144
19,Xelaev18046262m.g,25.600998,3.1184978,1.4869754446623236e-144,9.489804752447406e-142
19,atp5l.L,25.586437,2.7685719,2.1597882502939524e-144,1.3455480799331324e-141
19,cox5b.1.L,25.527899,3.0701787,9.663345443346131e-144,5.88025806675802e-141
19,ca2.S,25.383904,8.125605,3.797539177450165e-142,2.2583275026627507e-139
19,Xelaev18001106m.g,25.329086,3.1519635,1.5278659099894245e-141,8.884030977951841e-139
19,usmg5.L,25.315655,2.886967,2.1479755779449505e-141,1.2218245428805994e-138
19,atp5j.S,25.258917,3.2581327,9.038821512484321e-141,5.0321234828864833e-138
19,mpc1.S,25.25781,3.6953108,9.29519152120951e-141,5.067041277999334e-138
19,atp5j2.S,25.155067,2.7177048,1.2438175965537486e-139,6.641985965597017e-137
19,cox5a.S,25.110811,2.800742,3.78942812620543e-139,1.9830835270058254e-136
19,Xelaev18015162m.g,25.072983,2.8194368,9.805143191736287e-139,5.0306152304896415e-136
19,Xelaev18013576m.g,24.997665,2.6915839,6.481488871588015e-138,3.261435342576384e-135
19,Xelaev18034626m.g,24.993004,5.380491,7.283799333792596e-138,3.595997988075794e-135
19,nqo1.L,24.852398,4.8543615,2.436006190013624e-136,1.1803803327388237e-133
19,Xelaev18039162m.g,24.690392,2.9199104,1.356408038484398e-134,6.453049588178682e-132
19,Xelaev18045363m.g,24.664948,10.560658,2.544105780641207e-134,1.1887334260046042e-131
19,cystm1.S,24.599,5.498345,1.2946591613285667e-133,5.943166950056716e-131
19,tfcp2l1.L,24.562649,5.847086,3.168554697585318e-133,1.4294552106382317e-130
19,tmem38b.L,24.431871,5.263962,7.843834149896491e-132,3.478673972308332e-129
19,mpc2.S,24.393993,3.3907661,1.980605093088807e-131,8.637418810960287e-129
19,msln.L,24.30568,5.905695,1.7071849962776189e-130,7.322984034852487e-128
19,atp5h.L,24.19948,2.9015334,2.252987587396548e-129,9.508334389002916e-127
19,btg1.L,24.19476,3.3513744,2.52601902214911e-129,1.049139900532597e-126
19,cox7c.L,24.180025,2.89473,3.60983522198512e-129,1.4758585690384789e-126
19,cldn4.L,24.017572,4.734348,1.8223246144691122e-127,7.33583782495366e-125
19,cox6b1.S,24.014618,2.9177017,1.9565276334268275e-127,7.756742735794904e-125
19,uqcrh.S,23.987383,2.9853053,3.765823003400417e-127,1.4706943986115718e-124
19,atp5f1.S,23.848585,2.7862043,1.0474395372083455e-125,4.0304857250872895e-123
19,Xelaev18019895m.g,23.78085,4.0684752,5.271472464764826e-125,1.999034036420818e-122
19,cox7c.S,23.764925,3.0126126,7.702335591047693e-125,2.879133043933628e-122
19,Xelaev18037841m.g,23.747995,2.5118105,1.1523989422731873e-124,4.2469958765521437e-122
19,nme2.L,23.732552,1.7349395,1.6638942336194625e-124,6.04686896067873e-122
19,ftmt.S,23.698616,2.0261898,3.726083957559841e-124,1.33557140867823e-121
19,atp5i.S,23.68573,2.5758765,5.059295547556474e-124,1.7889395580724686e-121
19,atp5j.L,23.507114,2.5875344,3.449649728266674e-122,1.2035137971976773e-119
19,Xelaev18003734m.g,23.503368,2.5530288,3.767741024296012e-122,1.2971935742332824e-119
19,uqcrb.S,23.400452,2.5373385,4.228532968751537e-121,1.436932385199386e-118
19,prdx5.L,23.370329,3.5352921,8.563989330835223e-121,2.872889036290185e-118
19,atp5a1.L,23.17192,2.7965121,8.741350679692373e-119,2.8952681251244384e-116
19,cox6a1.S,23.150784,2.3773105,1.4275619494415996e-118,4.6691982461361116e-116
19,mgst2.L,23.029922,4.3672957,2.3380840364474766e-117,7.552877394775885e-115
19,Xetrov90024133m.S,22.98221,4.4561734,7.02220437487419e-117,2.2407682886946107e-114
19,cox5b.1.S,22.950544,2.6568112,1.4551441977253904e-116,4.587385912973803e-114
19,Xelaev18001105m.g,22.931107,2.5179248,2.274764623714948e-116,7.085891802872063e-114
19,ndufb2.S,22.789907,2.6991076,5.773761768251111e-115,1.7773676520948067e-112
19,Xelaev18042604m.g,22.638569,2.4762015,1.8082075892924573e-113,5.5015767187705155e-111
19,oxct1.L,22.59777,4.1940074,4.558184882459754e-113,1.3709133980970335e-110
19,slc25a5.S,22.563696,2.4255226,9.853784627301603e-113,2.929933279067884e-110
19,atp5o.S,22.563143,2.4902117,9.977700830329879e-113,2.9334440441169844e-110
19,cldn4.S,22.539984,4.227081,1.683820278187567e-112,4.89542682211732e-110
19,suclg2.L,22.472387,5.3094697,7.732184835161029e-112,2.223300531833225e-109
19,ndufa7.L,22.412613,2.8577259,2.9652334149481372e-111,8.433510601688365e-109
19,atp6v1d.L,22.407835,4.7566524,3.3009902724229003e-111,9.287495856797593e-109
19,ndufa13.1.L,22.307798,2.3142273,3.104050909081203e-110,8.640488945427527e-108
19,Xelaev18016042m.g,22.222357,2.2079382,2.0882368303949287e-109,5.751663674117233e-107
19,cox7a2.S,22.215021,2.5743034,2.4586588737166164e-109,6.701382092673853e-107
19,Xelaev18024221m.g,22.20098,2.9950101,3.3605278463158973e-109,9.065110476979564e-107
19,tmem213.S,22.186895,10.666302,4.596524223513379e-109,1.2272719676780723e-106
19,cs.S,22.183916,3.2508028,4.911167817867839e-109,1.2980365365891907e-106
19,atp5d.L,22.157564,2.3514953,8.819282963939432e-109,2.307653580344392e-106
20,mpo.L,27.004665,11.177806,1.3027155328003653e-160,1.9257078615151856e-156
20,prss57.L,26.993982,10.190672,1.7389539780445978e-160,1.9257078615151856e-156
20,mmp7.L,26.981298,10.840149,2.4500202581535124e-160,1.9257078615151856e-156
20,tkt.S,26.9745,9.376228,2.9438322426281215e-160,1.9257078615151856e-156
20,loc101733140.L,26.965382,9.648695,3.7658589148995486e-160,1.9707492873452317e-156
20,slurp1l.S,26.954412,10.042893,5.063760668404943e-160,2.2083060274913957e-156
20,lyg2.S,26.898138,9.21182,2.3092167826944743e-159,8.631852333711946e-156
20,epx.L,26.882273,10.730553,3.5399326479269604e-159,1.1578234708207105e-155
20,mmp9.S,26.870934,10.433303,4.803237528646513e-159,1.3964612574951628e-155
20,hvcn1.S,26.860645,8.925251,6.334823762510888e-159,1.6575699856985988e-155
20,cybb.L,26.768055,8.01185,7.61155185069209e-158,1.810580597501902e-154
20,pgd.L,26.764202,6.123031,8.439572327289453e-158,1.840248745965465e-154
20,loc101732654.like.L,26.758398,9.480393,9.859908575070521e-158,1.9845720598099636e-154
20,cyba.L,26.724195,8.23549,2.4640306147279317e-157,4.605273218926505e-154
20,arhgdib.S,26.711308,7.594223,3.478473676823676e-157,6.06784948185122e-154
20,ncf1.L,26.664865,10.10197,1.2034597668340115e-156,1.9681080161861715e-153
20,prtn3.S,26.65319,10.834983,1.6436215081088348e-156,2.529823551833869e-153
20,Xelaev18030549m.g,26.546467,8.871324,2.8210589231162536e-155,4.100879321236661e-152
20,txn.L,26.5401,6.294156,3.3413499265301473e-155,4.468322146430179e-152
20,dstn.S,26.539276,7.486162,3.4153650893756625e-155,4.468322146430179e-152
20,loc100486192.L,26.5161,9.668355,6.321344507481963e-155,7.876395256322526e-152
20,prss57.S,26.441866,10.345765,4.525914137523828e-154,5.382957696474931e-151
20,Xetrov90021734m.S,26.421526,5.138458,7.754004983722588e-154,8.821360626264575e-151
20,sh3bgrl3.S,26.38018,4.2697897,2.3134060519267587e-153,2.5221909481131486e-150
20,fbp1.L,26.358992,6.757739,4.048252044475648e-153,4.2370625198299916e-150
20,arhgdib.L,26.343773,7.0980873,6.048771888975533e-153,6.087390971035915e-150
20,gpi.S,26.309353,7.2481976,1.498969493850214e-152,1.4526679917068406e-149
20,loc100493999.like.S,26.305172,7.5528994,1.6735046160870593e-152,1.563890063733357e-149
20,lta4h.L,26.282896,6.8107777,3.0085538357265954e-152,2.714545505711107e-149
20,ncf2.L,26.182743,8.504313,4.1785541622934516e-151,3.644534940352349e-148
20,pgd.S,25.982834,7.543808,7.741853904238014e-149,6.534624169622319e-146
20,prdx5.L,25.929897,4.5424757,3.065235794403187e-148,2.506404993636056e-145
20,tmsb4x.L,25.923775,4.8597703,3.593523333576425e-148,2.849337319586689e-145
20,Xelaev18045052m.g,25.90886,4.604469,5.2921916545363407e-148,4.072808436252879e-145
20,loc100485744.L,25.719936,7.0683827,6.9958153348360065e-146,5.230071544323398e-143
20,rac2.S,25.628305,6.272314,7.380470525023031e-145,5.364371993270906e-142
20,lcp1.S,25.533821,6.3608956,8.305416311602621e-144,5.873500627280923e-141
20,serpinb1.L,25.505775,6.139778,1.7008558579417688e-143,1.171173536286956e-140
20,pygl.S,25.32613,7.7298365,1.6468540579452145e-141,1.1049123917998585e-138
20,Xelaev18047430m.g,25.139772,3.4617276,1.8283695622182017e-139,1.1960279491250366e-136
20,lcp1.L,25.106949,6.2649007,4.176029355605252e-139,2.6651215638723666e-136
20,arpc1b.L,25.025673,3.8548684,3.213310255536446e-138,2.0018922891992057e-135
20,tcn2.L,24.995356,5.8537564,6.867118057413515e-138,4.178721188146094e-135
20,coro6.1.L,24.853725,5.9344807,2.3568996304011267e-136,1.4016053574789973e-133
20,anxa5.S,24.839449,3.6454458,3.362236238688112e-136,1.9550282982558476e-133
20,loc100490489.S,24.831837,7.912429,4.063240340344944e-136,2.3112771031623e-133
20,loc100495760.L,24.52772,5.2057447,7.478595001809008e-133,4.163508868453925e-130
20,loc100493999.like.L,24.505707,5.632853,1.2841112919772192e-132,7.000011680390816e-130
20,rgs1.L,24.44006,5.621776,6.419282571628586e-132,3.427896893249665e-129
20,fgl2.L,24.354063,6.8258705,5.250199469981573e-131,2.7475343866307563e-128
20,cd53.S,24.296383,6.3161054,2.1407142195373866e-130,1.0983123189885346e-127
20,adam28.S,24.277163,7.9327097,3.416959834289186e-130,1.7193879043079009e-127
20,Xelaev18034420m.g,24.170414,3.8962448,4.5557367003985855e-129,2.2491586132571583e-126
20,Xelaev18024498m.g,24.047037,6.9920163,8.965526042149916e-128,4.3442954522017534e-125
20,Xelaev18010654m.g,24.039314,3.04269,1.0798120921233215e-127,5.137156945908877e-125
20,abracl.L,23.93773,2.9381638,1.2401573185920983e-126,5.7946350711215795e-124
20,itgb2.L,23.88762,6.7490563,4.1189117787441343e-126,1.890797291274018e-123
20,ostf1.S,23.75865,3.970258,8.943374553270093e-125,4.034695492428711e-122
20,gpx4.L,23.70722,2.3560467,3.0376567824102642e-124,1.347175040144864e-121
20,Xelaev18012028m.g,23.673067,8.097494,6.831880876461561e-124,2.9793832502248868e-121
20,vim.S,23.667683,4.2529573,7.762150903175018e-124,3.329580992335697e-121
20,cotl1.S,23.335613,4.1981893,1.929352849387045e-120,8.14249139630023e-118
20,prdx6.L,23.246077,4.285135,1.5586420547923402e-119,6.473560000904187e-117
