method,n_clusters,silhouette,calinski_harabasz,davies_bouldin
kmeans,35,0.29230514,3717.9592965758548,1.3070959762429302
leiden,37,0.24869989,3065.7184876510346,1.2532711835032375
louvain,35,0.24360876,3166.3958737986823,1.3024218021508742
