group,names,scores,logfoldchanges,pvals,pvals_adj
21,Xelaev18001106m.g,17.611507,2.2294412,2.0102146658139436e-69,6.11619499368461e-67
21,higd2a.L,17.571629,2.47424,4.063417268092293e-69,1.2221077728379646e-66
21,rdh7.2.L,17.448437,4.426198,3.5378274587217214e-68,1.0519408327830973e-65
21,loc100492852.S,17.375282,4.476789,1.2697897413282238e-67,3.7331818395049783e-65
21,gnb3.L,17.34297,3.9852967,2.2291294098693277e-67,6.4808222376267584e-65
21,dse.S,17.24236,3.8058476,1.2771484120649036e-66,3.672292895614315e-64
21,capns2.S,17.208649,2.6738987,2.287100187115629e-66,6.50481124957256e-64
21,ndrg1.S,17.182512,3.9332712,3.590218148424812e-66,1.0101252480826197e-63
21,msmb.3.L,17.10785,3.9481423,1.2970240780949116e-65,3.61041830079058e-63
21,Xelaev18036568m.g,17.04259,1.7469846,3.967729246844898e-65,1.0928379312941432e-62
21,cox6a1.L,16.962612,1.8889692,1.552833043977263e-64,4.232440565490528e-62
21,vgll1.L,16.931839,3.757254,2.6205948073053452e-64,7.06912203380945e-62
21,elf3.S,16.923141,3.8183696,3.037874614695281e-64,8.1111252212364e-62
21,dapl1.S,16.887333,2.344062,5.576692431060785e-64,1.4739367085973384e-61
21,ppl.S,16.844446,3.1273065,1.1524302622888922e-63,3.015449024305115e-61
22,loc100490646.S,17.72001,8.902193,2.9385787956374335e-70,4.3869318599344295e-66
22,loc100490646.L,17.712585,8.585027,3.353154368214041e-70,4.3869318599344295e-66
22,ctgf.L,17.464525,7.457484,2.669142207366987e-68,2.1567747348185517e-64
22,loc101731931.S,17.452463,8.229479,3.2970644879898366e-68,2.1567747348185517e-64
22,shh.L,17.431612,9.199054,4.748860175618085e-68,2.4851735071044558e-64
22,krt8.S,17.397882,6.892599,8.560869599564385e-68,3.7333952323700285e-64
22,col8a1.S,17.325663,8.64969,3.0120745822248384e-67,1.1259134788356447e-63
22,npr3.L,17.216375,7.957154,2.0013405993518332e-66,6.545884765330008e-63
22,krt18.S,17.00984,6.8719435,6.942713707352166e-65,2.0184782985175197e-61
22,col8a1.L,16.988071,6.970037,1.0064353297826052e-64,2.6334386839091647e-61
22,loc101733581.L,16.248312,6.0378413,2.295972919234868e-59,5.461493400427233e-56
22,npr3.S,16.2309,8.033279,3.0495194820839367e-59,6.649477230684024e-56
22,efcab10.like.L,16.070423,5.520767,4.1127115246098635e-58,8.277939211764745e-55
22,shh.S,15.938859,9.13085,3.405151354563041e-57,6.364227881678323e-54
22,cst3.S,15.821497,5.0343323,2.211706796549873e-56,3.8581013359015983e-53
22,Xelaev18046818m.g,15.611497,6.6179776,6.07941309660847e-55,9.942120192866076e-52
22,krt18.L,15.38732,5.2095227,1.9911208211648215e-53,3.0646863180352186e-50
22,foxa2.S,15.236636,8.135057,2.02004979505405e-52,2.936479052076904e-49
22,c17orf58.L,15.149742,6.3120036,7.606415832770615e-52,1.0475235614751364e-48
22,slit1.S,14.902078,7.6662803,3.1948870892798123e-50,4.1798707789047784e-47
22,tagln2.S,14.716036,3.8900936,5.086134462896681e-49,6.337323540769265e-46
22,Xelaev18044205m.g,14.667532,6.951511,1.0406149171125007e-48,1.2376695418711679e-45
22,c2orf50.L,14.6005335,6.0724063,2.786552785053765e-48,3.170127833639861e-45
22,foxa1.L,14.515334,7.3598046,9.688511716235494e-48,1.0562899898625747e-44
22,col2a1.L,14.482191,4.765331,1.5701112743566257e-47,1.6433412641926186e-44
22,stmn1.S,14.339737,3.41984,1.2352324294275022e-46,1.2431189134000008e-43
22,duox1.L,14.264867,6.0827646,3.622841388585232e-46,3.5109358434711547e-43
22,cxcr4.L,14.235048,4.6463313,5.552442346863818e-46,5.188757373144238e-43
22,ferd3l.L,14.163388,11.221985,1.5436823322969842e-45,1.3928273071338927e-42
22,thbs3.L,14.017915,4.626867,1.2112102579761667e-44,1.0564175870068125e-41
22,tagln2.L,14.006286,3.411221,1.4267386510063858e-44,1.2042594691042934e-41
22,vcan.L,13.868188,4.2135396,9.874032707889659e-44,8.073873119832526e-41
22,kansl1l.L,13.845744,5.9859843,1.3497522163330682e-43,1.0702308028051837e-40
